,FragmentID, SessionEndDate,Tono emocional,¿Cuándo sucedieron,¿La experiencia que compartiste es?,¿Qué tan común?,¿Por cuánto tiempo?,¿Quién crees que debe saber sobre esta historia?,¿En cuántos colegios/escuelas has estado?,Edad,Grado,Institucion Educativa Distrital,Género,FragmentEntry,StoryTitle,Temas,Familia,EstudiosAcudiente,Describe algo que es…,Sentí que tuve…,Las materias en clase...,El aprendizaje aplicado...,El aprendizaje por descubrimiento...,El auto-aprendizaje...,AreaLaHistoriaInvolucra,AreaEstaHistoriaMeEnseño,AreaLaLeccionImpactoEn,AreaEsImportante
10,63debec8-22df-4466-8881-966eb4f05b87,2019/07/22 21:36:04.135,Indiferente,El mes pasado,Una experiencia que alguien te compartió,Muy rara y única,Por siempre,Nadie,En 2,10,4,8. Guadalupe,femenino,dia problema compañera niña diciendo cosas nunca pense iba decir niña mejor amiga niña falto respeto dijo palabras adultas niña dijo perra prostituta dijo cortamos amistad pense cortada amistad iba llegar tan lejos comente profesor carlos habia pasado profesor llevo coordinacion problema grande coordinador reviso conversaciones dijo grave niña puso inventar habia dicho malparida coordinador soluciono problema dijo habia pedirnos disculpas pedimos disculpas quedaron cosas,mejor amiga judas iscariote,Relación con los compañeros,"Papá,mamá,Hermanos,otros",Bachiller,,,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Familia comunidad amigos,Comprender como son cosas,Entender sucede alrededor,Trabajar en equipo
11,c4a73b02-b392-4998-a43a-513d7ab126de,2019/07/23 14:04:36.085,Muy Feliz,Hace seis meses,Experiencia personal,Común,Por siempre,Todo el mundo,En 2,8,3,5. Caicedo,femenino,día pusieron hacer carteles representante grupo puse feliz inspiré pensé muchas cosas compañeros queríamos sucedieran ejemplo quería hacer pudiera enseñar vez divertirnos llego día elecciones puse bastante feliz susto salí cuenta valía pena quería ganar entonces leí propuestas cada vez tenia puntos gane buen día quería dirigir grupo ser fuerte,quedes atrás inténtalo,"Tecnología,La seguridad en el colegio,Educación / aprendizaje,Valores,Innovación / creatividad,Relación con los compañeros,Relación con los profesores","Papá,mamá",Pregrado (profesional),Novedoso,Total control,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Neutro,Importancia de experimentar,Oportunidades futuro/Entender sucede alrededor,Trabajar en equipo/Comprender a los otros
12,6c570f08-d18a-496e-b286-95878d2644f2,2019/07/15 18:04:03.112,Indiferente,Hace más de dos años,Una opinión,Común,Por siempre,Los profesores y las directivas,En más de 4,16,9,11. San Benito,masculino,bien colegio amañado malucoporque jornada conveniente estudiantes restaurante bueno cantidad estudiantes ahí institución,amigo,Comida,"Papá,mamá,Hermanos",No tiene educación formal,Pasa frecuentemente,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,A mi/Familia comunidad amigos,Comprender como son cosas/Importancia de experimentar,Entender sucede alrededor,Trabajar en equipo
13,115f0056-52d1-43fb-b068-51e07f08bd52,2019/07/16 14:57:55.815,Indiferente,El mes pasado,Experiencia personal,Muy rara y única,Por mucho tiempo,Todo el mundo,En más de 4,15,7,6. Camilo Mora,masculino,colegio regular pierde muchas claces año,primer seria,Educación / aprendizaje,mamá,Bachiller,Novedoso,Absolutamente ningun control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Profesores,Nuevas conocimientos habilidades,Entender sucede alrededor,Trabajar en equipo
14,e1eae684-abbc-4730-96de-74b2b36da3e7,2019/07/22 14:54:25.045,Feliz,El mes pasado,Experiencia personal,Muy rara y única,Por siempre,Todo el mundo,En 3,11,5,11. San Benito,masculino,buena buena jente profesores explican pueda entender entiende esplica nuevo,mejor escuela mundo,"Salud,Relación con los compañeros","Papá,mamá,Hermanos,otros familiares",Primaria,,Poco control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Profesores,Nuevas conocimientos habilidades/Importancia de experimentar,Relación demás,Trabajar en equipo/Comprender a los otros
15,9452c110-0e24-4953-b91e-7753aa008b4c,2019/08/01 18:35:48.713,Muy Feliz,El mes pasado,Experiencia personal,Pasa una vez cada tanto,Por siempre,Nadie,En más de 4,15,5,10. Rodrigo Correa Palacio,masculino,estudio colegio rodrigo correa palacio grado aceleracion dias voy colegio gran cosa quisiera espacio mas grande cancha,estudio quiere,"La seguridad en el colegio,Educación / aprendizaje","mamá,Hermanos","Bachiller,Técnico",Completamente novedoso,Control,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa poco para mi futuro,Familia comunidad amigos,Nuevas conocimientos habilidades,Relación demás,Trabajar en equipo
16,98c47998-790e-4f01-9f79-068d0cf2c1a0,2019/08/06 19:04:15.008,Muy Feliz,El mes pasado,Experiencia personal,Común,Por siempre,Los compañeros,En más de 4,10,5,2.Álvaro Marín Velasco,femenino,venezuela primer día llegue sentí nerviosa conocía nadie después acostumbrando siento feliz,felicidad escuela,Ninguna de las anteriores,"mamá,otros familiares",Pregrado (profesional),Pasa todo el tiempo,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,A mi,Nuevas conocimientos habilidades,Oportunidades futuro,Trabajar en equipo
17,95577986-35c2-4f36-a2bc-fe8401feadf5,2019/07/23 13:00:18.958,Indiferente,No se,Una opinión,Muy rara y única,Se me va a olvidar,Nadie,Sólo en este,13,7,3. Bello Oriente,masculino,aburridoesta institucion buena educacion cambian seguido profesores instalaciones estan buen,institucion malas instalaciones,Ninguna de las anteriores,"Papá,mamá,Hermanos",Postgrado (especialización maestría),,,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Profesores,,,
18,abb2244f-ae56-45fe-a21e-fede01fca367,2019/07/18 12:16:10.201,Feliz,No se,Una opinión,Pasa una vez cada tanto,Se me va a olvidar,Nadie,Sólo en este,11,6,9. Reino de Bélgica,masculino,estudiolos buenos profesores uniforme,niños estudiosos,Tecnología,"Papá,mamá,Hermanos,otros familiares",Bachiller,Novedoso,Poco control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Familia comunidad amigos,Nuevas conocimientos habilidades,Entender sucede alrededor,Ser el mejor
19,d799d417-401f-4583-8946-d691139d5d48,2019/08/01 13:21:02.351,Muy Feliz,Siempre,Una opinión,Común,Por siempre,Los profesores y las directivas,En más de 4,15,9,10. Rodrigo Correa Palacio,femenino,colegio bueno academicamente gusta salon interatuar compañeros profesores unico malo tienda venden comida tan rica refrigerio toda institucion,opinon vida escolar,Comida,otros familiares,Pregrado (profesional),Pasa todo el tiempo,Control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,A mi/Familia comunidad amigos,Neutro,Entender sucede alrededor,Trabajar en equipo
20,aec24da4-5062-499b-b747-ccb659108d60,2019/07/16 13:42:25.176,Feliz,No se,Una opinión,Común,Por mucho tiempo,Los profesores y las directivas,Sólo en este,13,8,6. Camilo Mora,femenino,alegro compañeros profesores educación media tecnica,vida colegio,"Educación / aprendizaje,Relación con los compañeros,Relación con los profesores","Papá,mamá,Hermanos",Primaria,,,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Profesores,Importancia de experimentar,Oportunidades futuro,Trabajar en equipo/Comprender a los otros
21,44ee609d-1f0c-4de9-b5d3-4b4c68de712b,2019/08/01 16:09:02.508,Muy Feliz,Siempre,Experiencia personal,Común,Por algun tiempo,Todo el mundo,En 2,13,7,1.Alfonso López Pumarejo,femenino,colegio bueno enseñan bien explican paciencia ayudan problemas mas personales respetuosos echo colaboran vas ben materia dejar ayudar,tal escuela,Relación con los profesores,mamá,Bachiller,Pasa todo el tiempo,Total control,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,A mi/Familia comunidad amigos,Nuevas conocimientos habilidades,Entender sucede alrededor,Comprender a los otros
22,07fed76e-6f8f-4fd7-bf39-c5ea9c3ea145,2019/07/22 14:53:55.729,Feliz,No se,Una experiencia que alguien te compartió,Pasa una vez cada tanto,Se me va a olvidar,Los compañeros,En 2,10,5,11. San Benito,masculino,bien bonita profesora cariñosa enseña,profesora cariñosa,Educación / aprendizaje,"mamá,Hermanos",Bachiller,Novedoso,Control,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Profesores,Comprender como son cosas,Oportunidades futuro,Ser el mejor
23,dbb74b13-f240-4138-a1b6-f563542eb14f,2019/07/16 13:51:28.306,Muy Feliz,Hace seis meses,Experiencia personal,Común,Por algun tiempo,Todo el mundo,En 2,15,10,6. Camilo Mora,masculino,día fiesta fin año pase bien trajeron papayera baile diverte amigoshicimos muchas cosas divertidas charlamos tiempo,buena tarde,Relación con los compañeros,"Papá,mamá,Hermanos,otros familiares",Bachiller,Novedoso,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Profesores,,Relación demás,
24,5a62b629-ea0a-46d7-8db6-845ebae5adf2,2019/07/18 12:55:00.070,Muy Feliz,Hace un año,Experiencia personal,Común,Por siempre,Los compañeros,En 3,11,6,9. Reino de Bélgica,masculino,nombre johan rodriges hernandez historia conosi ami amigo juanpablo buencomienso colegio prescolar regrese primero yemos sido amigos entonsese segiremos siendo amigos porsiempre aunque colejios diferentes,historia vida,Relación con los compañeros,mamá,Primaria,Completamente novedoso,Total control,Me interesa poco / Importa mucho para mi futuro,,,Me interesa mucho / Importa mucho para mi futuro,Familia comunidad amigos,Comprender como son cosas,Entender sucede alrededor,Comprender a los otros
25,23db2dec-b585-405c-b238-e145e6a4b3c9,2019/07/16 16:20:58.966,Indiferente,No se,Una opinión,Común,Por siempre,Los profesores y las directivas,Sólo en este,12,6,6. Camilo Mora,femenino,colegio bueno auque reglas gustan tambien mucha basura mucha indisiplina,colegio,"La seguridad en el colegio,Ninguna de las anteriores","mamá,Hermanos",Primaria,Novedoso,Total control,,Me interesa poco / Importa poco para mi futuro,,,Profesores,Nuevas conocimientos habilidades,Relación demás,Trabajar en equipo
26,017aa1a0-1687-4b23-b94f-f260a0a66e4e,2019/07/23 12:32:14.969,Indiferente,Siempre,Una opinión,Pasa todo el tiempo,Por mucho tiempo,Todo el mundo,En 2,16,10,3. Bello Oriente,masculino,colegio bueno párese mismo problema resto país forma educan centran mas matemáticas lenguaje deberían enfocarse igual todas materias cada persona única talentos igual cuanto comportamiento bien colegio personas activas positivas colegio agradable,colegio igual demás,Educación / aprendizaje,"Papá,mamá,Hermanos",No tiene educación formal,Pasa todo el tiempo,Poco control,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Neutro,Nuevas conocimientos habilidades/Comprender como son cosas,Oportunidades futuro,Neutro
27,73ba6836-f697-4f4c-a740-0aae092a99a5,2019/07/18 13:09:47.550,Muy Feliz,El mes pasado,Experiencia personal,Común,Por siempre,Los compañeros,En 3,11,5,1.Alfonso López Pumarejo,masculino,escuela espectacular organizada gustaría dieran mas materias profes organizadas gusta sala lectura puedo leer puedo jugar,escuela perfecta,La seguridad en el colegio,"Papá,mamá,Hermanos",No tiene educación formal,Completamente novedoso,Total control,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Profesores,Importancia de experimentar,Entender sucede alrededor,Trabajar en equipo
28,d042104a-4d88-4a8a-9fd7-584cf14bd79f,2019/07/24 20:56:40.557,Indiferente,No se,Experiencia personal,Común,Por siempre,Los compañeros,En 2,15,7,12. Samuel Barrientos,masculino,colegio bueno gusta profesora giorgina regañona colegio bueno profesor nicolas dice drogadicto,,Relación con los profesores,"Papá,mamá,Hermanos",Bachiller,Pasa todo el tiempo,Control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Profesores,Importancia de experimentar,Relación demás,Comprender a los otros
29,0ea24024-1214-42c0-ba53-83209a773058,2019/07/18 15:53:20.919,Feliz,No se,Una opinión,Común,Por mucho tiempo,Todo el mundo,En 3,9,5,1.Alfonso López Pumarejo,femenino,colegio inteligente veces hacer molestanpero escuela aprendemos mucha matematicas profesoras mejor,tipo escuela,Ninguna de las anteriores,"Papá,mamá,Hermanos",Técnico,Pasa frecuentemente,Control,,,,,Profesores,Neutro,Relación demás/Oportunidades futuro,Comprender a los otros
30,3adb57a3-8abb-4a70-bf4d-b0e2ab424056,2019/08/06 14:03:01.599,Feliz,Siempre,Una experiencia que alguien te compartió,Pasa una vez cada tanto,Por mucho tiempo,Todo el mundo,En más de 4,14,7,2.Álvaro Marín Velasco,masculino,pare bueno colegi abeses cosas malas,colegio bueno,Relación con los compañeros,"Papá,mamá",Bachiller,Pasa todo el tiempo,Absolutamente ningun control,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,A mi,Nuevas conocimientos habilidades,Entender sucede alrededor,Trabajar en equipo
31,5c564d7d-1092-4b00-a21b-96294559e62d,2019/07/24 18:11:18.210,Indiferente,Siempre,Una opinión,Pasa todo el tiempo,Por algun tiempo,Los profesores y las directivas,En más de 4,12,7,12. Samuel Barrientos,masculino,colegio demasiado aburrido clases ejemplo español estadística clase físico química cosas repetitivas aburridas además clases profesores prestan atención estudiantes,atención colegios repetitivos,Educación / aprendizaje,otros familiares,Pregrado (profesional),Pasa todo el tiempo,Absolutamente ningun control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Profesores,Comprender como son cosas,Oportunidades futuro,Trabajar en equipo/Comprender a los otros
32,1f77a495-0cff-4f15-950b-7750a71785d0,2019/08/06 15:01:37.997,Muy Feliz,Siempre,Una opinión,Pasa todo el tiempo,Por siempre,Todo el mundo,En 3,17,10,2.Álvaro Marín Velasco,femenino,clases sociales oscar mejores explica super bien aparte entretenido,aprendiendo historia,Educación / aprendizaje,Hermanos,"Primaria,Bachiller",Pasa todo el tiempo,,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Profesores,Nuevas conocimientos habilidades,Oportunidades futuro,Comprender a los otros
33,eaf88d1c-35eb-42b8-b625-a8d84f914f7a,2019/07/23 13:22:57.733,Feliz,El mes pasado,Experiencia personal,Pasa una vez cada tanto,Por siempre,Los compañeros,Sólo en este,9,4,5. Caicedo,masculino,salida pedagógica zoologico encontramos diferentes animales tortuga mordelona cocodrilos jirafas perros monte tigtillo cocodrilo camaleón iguanas coordinadora llevo espacio encontraba zonas naturales gusto sucede días,gran viaje zoologico,Educación / aprendizaje,"mamá,otros familiares",Pregrado (profesional),Completamente novedoso,Total control,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Familia comunidad amigos/Profesores,Importancia de experimentar,Relación demás,Comprender a los otros
34,c93fc858-8ef8-46f9-9613-195a13d0a4af,2019/07/24 16:51:05.925,Muy Triste,Siempre,Experiencia personal,Común,Por siempre,Todo el mundo,En 2,15,11,7. Jesús Amigo,masculino,respuesta positiva estudiante cuál institución ero notado institución últimos tres años decaído academicamente personas estudiantes respetan siempre visto cada vez pasan años peores ahora colegio entrada cuanto vago demás instutuciones dejan queremos tener ser mejores institución pueden hacer,instutucion cae,"Educación / aprendizaje,Bullying / matoneo,Relación con los compañeros,Relación con la familia","Papá,mamá,otros","Técnico,Pregrado (profesional)",Pasa todo el tiempo,Absolutamente ningun control,,,,,A mi/Profesores,,Oportunidades futuro/Entender sucede alrededor,
35,c21f2b1c-6f88-41f5-8f23-4261ea1c9d0f,2019/07/24 19:07:51.637,Feliz,Siempre,Una opinión,Común,Por siempre,Los profesores y las directivas,En más de 4,13,7,12. Samuel Barrientos,femenino,gusta colegio temperamento gusta corrijan cosas simples escritura bienyo cambiaría días educación física toda semana,irrita cantidad personas pasa escuela,Educación / aprendizaje,otros familiares,Bachiller,Pasa todo el tiempo,Poco control,,,Me interesa poco / Importa mucho para mi futuro,,A mi/Profesores,Nuevas conocimientos habilidades,Oportunidades futuro/Entender sucede alrededor,Comprender a los otros
36,707c9dd1-f427-4bc4-a06c-00fb51bc5580,2019/07/16 15:35:36.529,Indiferente,Siempre,Una opinión,Pasa todo el tiempo,Por algun tiempo,Los profesores y las directivas,En 3,12,6,6. Camilo Mora,masculino,diria colegio bueno respectivo estructura colegio enseñan malo compañeros groseros matienen burlandose compañeroso pegandole cosa maluco veces dice docentes hacen casorespetivo gustaria mandancen tarea casa hacen gustaria compañeros mas educados resto compañerosatentamenteesteban garcia,problemas salon clases,"Educación / aprendizaje,Bullying / matoneo",otros familiares,Bachiller,Pasa todo el tiempo,,,Me interesa poco / Importa mucho para mi futuro,,Me interesa poco / Importa mucho para mi futuro,A mi,Neutro,Relación demás,Trabajar en equipo
37,f89db225-32d5-4f16-b8fc-80893c5a0440,2019/08/06 15:23:42.089,Feliz,El mes pasado,Experiencia personal,Pasa una vez cada tanto,Se me va a olvidar,Nadie,En 2,16,10,2.Álvaro Marín Velasco,masculino,colegio regular canchas estan buen profesores mejor salon vive ambiente agradable bueno,colegio,"Educación / aprendizaje,Justicia",mamá,Bachiller,Pasa todo el tiempo,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Profesores,Nuevas conocimientos habilidades,Relación demás,Trabajar en equipo
38,20d43ae2-7e89-4eb1-a08b-ce604907cc28,2019/07/24 14:08:04.245,Feliz,Siempre,Experiencia personal,Pasa todo el tiempo,Por algun tiempo,Todo el mundo,Sólo en este,12,7,7. Jesús Amigo,masculino,colegio puertas abiertas puede salir parques jugar disfrutar aire libre compañeros buenos,colegio excelente,Relación con los compañeros,"mamá,Hermanos",Bachiller,Pasa todo el tiempo,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Profesores,Neutro,Relación demás,Neutro
